Character,Gender,Alive?,Title,Forename,Surname,Birth name,Alias,Screentime
"Aurane Waters, Bastard of Driftmark",male,alive,Civilian,Aurane,Waters,unknown,Bastard of Driftmark,1
Dykk Harlaw,male,dead,Civilian,Dykk,Harlaw,unknown,none,1
Endehar,male,dead,Civilian,Endehar,unknown,unknown,none,1
"Rolfe, Red Rolfe",male,dead,Civilian,Rolfe,unknown,unknown,Red Rolfe,1
"Harrag Sharp, Sheepstealer",male,dead,Civilian,Harrag,Sharp,unknown,Sheepstealer,1
"Kenned, The Whale",male,dead,Civilian,Kenned,unknown,unknown,The Whale,1
"Ramsay Snow, The Bastard of Bolton",male,alive,Civilian,Ramsay,Snow,unknown,The Bastard of Bolton,1
Maester Ballabar,male,alive,Maester,Ballabar,unknown,unknown,none,1
Ragwyle,male,dead,Civilian,Ragwyle,unknown,unknown,none,1
Lord Edwyle Stark,male,dead,Lord / Lady,Edwyle,Stark,unknown,none,1
Lord Willam Stark,male,dead,Lord / Lady,Willam,Stark,unknown,none,1
"Artos Stark, The Implacable",male,dead,Civilian,Artos,Stark,unknown,The Implacable,1
Lord Donnor Stark,male,dead,Lord / Lady,Donnor,Stark,unknown,none,1
Lord Beron Stark,male,dead,Lord / Lady,Beron,Stark,unknown,none,1
Lord Rodwell Stark,male,dead,Lord / Lady,Rodwell,Stark,unknown,none,1
Lord Jonnel Stark,male,dead,Lord / Lady,Jonnel,Stark,unknown,none,1
Lord Barth Stark,male,dead,Lord / Lady,Barth,Stark,unknown,none,1
"King Edwyn Stark, The Spring King",male,dead,King / Queen,Edwyn,Stark,unknown,The Spring King,1
King Jorah Stark,male,dead,King / Queen,Jorah,Stark,unknown,none,1
King Jonos Stark,male,dead,King / Queen,Jonos,Stark,unknown,none,1
"King Brandon Stark, The Bad",male,dead,King / Queen,Brandon,Stark,unknown,The Bad,1
"King Walton Stark, The Moon King",male,dead,King / Queen,Walton,Stark,unknown,The Moon King,1
"King Edderion Stark, The Bridegroom",male,dead,King / Queen,Edderion,Stark,unknown,The Bridegroom,1
King Eyron Stark,male,dead,King / Queen,Eyron,Stark,unknown,none,1
"King Benjen Stark, The Sweet",male,dead,King / Queen,Benjen,Stark,unknown,The Sweet,1
"King Benjen Stark, The Bitter",male,dead,King / Queen,Benjen,Stark,unknown,The Bitter,1
"King Edrick Stark, Snowbeard",male,dead,King / Queen,Edrick,Stark,unknown,Snowbeard,1
Ser Aemon Estermont,male,alive,Ser,Aemon,Estermont,unknown,none,1
Ser Alyn Estermont,male,alive,Ser,Alyn,Estermont,unknown,none,1
Lady Shyra Errol,female,dead,Lord / Lady,Shyra,Errol,unknown,none,1
Ser Donnel Swann,male,alive,Ser,Donnel,Swann,unknown,none,1
Maester Jurne,male,alive,Maester,Jurne,unknown,unknown,none,1
Ser Lomas Estermont,male,alive,Ser,Lomas,Estermont,unknown,none,1
Ser Andrew Estermont,male,alive,Ser,Andrew,Estermont,unknown,none,1
Stannis Seaworth,male,alive,Civilian,Stannis,Seaworth,unknown,none,1
Steffon Seaworth,male,alive,Civilian,Steffon,Seaworth,unknown,none,1
Lyman Darry,male,dead,Civilian,Lyman,Darry,unknown,none,1
Ser Halmon Paege,male,alive,Ser,Halmon,Paege,unknown,none,1
Berena Tallhart (Hornwood),female,alive,Civilian,Berena,Tallhart,Hornwood,none,1
Brandon Tallhart,male,alive,Civilian,Brandon,Tallhart,unknown,none,1
Eddara Tallhart,female,alive,Civilian,Eddara,Tallhart,unknown,none,1
Lady Sybelle Glover (Locke),female,alive,Lord / Lady,Sybelle,Glover,Locke,none,1
Gawen Glover,male,alive,Civilian,Gawen,Glover,unknown,none,1
Erena Glover,female,alive,Civilian,Erena,Glover,unknown,none,1
"Ser Robert Brax, Brother of Flement",male,dead,Ser,Robert,Brax,unknown,Brother of Flement,1
Captain Igon Vyrwel,male,alive,Captain,Igon,Vyrwel,unknown,none,1
Butterbumps,male,alive,Civilian,Butterbumps,unknown,unknown,none,1
Lady Melara Florent (Crane),female,alive,Lord / Lady,Melara,Florent,Crane,none,1
Alekyne Florent,male,alive,Civilian,Alekyne,Florent,unknown,none,1
Lady Melessa Tarly (Florent),female,alive,Lord / Lady,Melessa,Tarly,Florent,none,1
Lady Rhea Hightower (Florent),female,alive,Lord / Lady,Rhea,Hightower,Florent,none,1
Ser Ryam Florent,male,dead,Ser,Ryam,Florent,unknown,none,1
Ser Colin Florent,male,alive,Ser,Colin,Florent,unknown,none,1
Ser Hosman Norcross,male,alive,Ser,Hosman,Norcross,unknown,none,1
Alester Norcross,male,alive,Civilian,Alester,Norcross,unknown,none,1
Renly Norcross,male,alive,Civilian,Renly,Norcross,unknown,none,1
Maester Omer (Florent),male,alive,Maester,Omer,unknown,Florent,none,1
Merrell Florent,male,alive,Civilian,Merrell,Florent,unknown,none,1
Rylene Crane (Florent),female,alive,Civilian,Rylene,Crane,Florent,none,1
Ser Rycherd Crane,male,alive,Ser,Rycherd,Crane,unknown,none,1
Lord Waldon Wynch,male,alive,Lord / Lady,Waldon,Wynch,unknown,none,1
"Lord Rodrik Harlaw, The Reader",male,alive,Lord / Lady,Rodrik,Harlaw,unknown,The Reader,1
"Lord Stonehouse, The Stonehouse",male,alive,Lord / Lady,unknown,Stonehouse,unknown,The Stonehouse,1
Lord Norne Goodbrother,male,alive,Lord / Lady,Norne,Goodbrother,unknown,none,1
"Lord Meldred Merlyn, The Merlyn",male,alive,Lord / Lady,Meldred,Merlyn,unknown,The Merlyn,1
"Lord Sparr, The Sparr",male,alive,Lord / Lady,unknown,Sparr,unknown,The Sparr,1
Lord Baelor Blacktyde,male,dead,Lord / Lady,Baelor,Blacktyde,unknown,none,1
Lord Donnor Saltcliffe,male,alive,Lord / Lady,Donnor,Saltcliffe,unknown,none,1
Lord Sunderly,male,alive,Lord / Lady,unknown,Sunderly,unknown,none,1
Ser Marwyn Belmore,male,alive,Ser,Marwyn,Belmore,unknown,none,1
"Myranda Royce, Randa",female,alive,Civilian,Myranda,Royce,unknown,Randa,1
Lady Perra Frey (Royce),female,dead,Lord / Lady,Perra,Frey,Royce,none,1
Lady Corenna Frey (Swann),female,dead,Lord / Lady,Corenna,Frey,Swann,none,1
Ser Ryman Frey,male,dead,Ser,Ryman,Frey,unknown,none,1
Edwyn Frey,male,alive,Civilian,Edwyn,Frey,unknown,none,1
Janyce Frey (Hunter),female,alive,Civilian,Janyce,Frey,Hunter,none,1
"Walda Frey, Daughter of Edwyn",female,alive,Civilian,Walda,Frey,unknown,Daughter of Edwyn,1
"Petyr Frey, Petyr Pimple",male,dead,Civilian,Petyr,Frey,unknown,Petyr Pimple,1
Mylenda Frey (Caron),female,alive,Civilian,Mylenda,Frey,Caron,none,1
"Perra Frey, Daughter of Petyr",female,alive,Civilian,Perra,Frey,unknown,Daughter of Petyr,1
Lady Jeyne Frey (Lydden),female,dead,Lord / Lady,Jeyne,Frey,Lydden,none,1
"Aegon Frey, Jinglebell",male,dead,Civilian,Aegon,Frey,unknown,Jinglebell,1
Maegelle Vance (Frey),female,dead,Civilian,Maegelle,Vance,Frey,none,1
Ser Dafyn Vance,male,alive,Ser,Dafyn,Vance,unknown,none,1
Marianne Vance,female,alive,Civilian,Marianne,Vance,unknown,none,1
Walder Vance,male,alive,Civilian,Walder,Vance,unknown,none,1
Patrek Vance,male,alive,Civilian,Patrek,Vance,unknown,none,1
Marsella Frey (Waynwood),female,dead,Civilian,Marsella,Frey,Waynwood,none,1
"Walton Frey, Son of Stevron",male,alive,Civilian,Walton,Frey,unknown,Son of Stevron,1
Deana Frey (Hardyng),female,alive,Civilian,Deana,Frey,Hardyng,none,1
"Steffon Frey, Son of Walton, The Sweet",male,alive,Civilian,Steffon,Frey,unknown,"Son of Walton, The Sweet",1
"Walda Frey, Daughter of Walton, Fair Walda",female,alive,Civilian,Walda,Frey,unknown,"Daughter of Walton, Fair Walda",1
Bryan Frey,male,alive,Civilian,Bryan,Frey,unknown,none,1
"Tywin Frey, Son of Ser Cleos",male,alive,Civilian,Tywin,Frey,unknown,Son of Ser Cleos,1
Willem Frey,male,alive,Civilian,Willem,Frey,unknown,none,1
Melesa Frey (Crakehall),female,alive,Civilian,Melesa,Frey,Crakehall,none,1
Tyana Frey (Wylde),female,alive,Civilian,Tyana,Frey,Wylde,none,1
"Aegon Frey, Son of Aenys, Bloodborn",male,alive,Civilian,Aegon,Frey,unknown,"Son of Aenys, Bloodborn",1
"Rhaegar Frey, Son of Aenys",male,dead,Civilian,Rhaegar,Frey,unknown,Son of Aenys,1
"Jeyne Frey (Beesbury), Wife of Stevron",female,dead,Civilian,Jeyne,Frey,Beesbury,Wife of Stevron,1
"Robert Frey, Son of Rhaegar Frey",male,alive,Civilian,Robert,Frey,unknown,Son of Rhaegar Frey,1
"Walda Frey, Daughter of Rhaegar Frey, White Walda",female,alive,Civilian,Walda,Frey,unknown,"Daughter of Rhaegar Frey, White Walda",1
Jonos Frey,male,alive,Civilian,Jonos,Frey,unknown,none,1
Perriane Haigh (Frey),female,alive,Civilian,Perriane,Haigh,Frey,none,1
Ser Leslyn Haigh,male,alive,Ser,Leslyn,Haigh,unknown,none,1
Walder Haigh,male,alive,Civilian,Walder,Haigh,unknown,none,1
Ser Donnel Haigh,male,alive,Ser,Donnel,Haigh,unknown,none,1
Alyn Haigh,male,alive,Civilian,Alyn,Haigh,unknown,none,1
Lady Cyrenna Frey (Swann),female,dead,Lord / Lady,Cyrenna,Frey,Swann,none,1
Alys Frey,female,dead,Civilian,Alys,Frey,unknown,none,1
Ser Tytos Frey,male,dead,Ser,Tytos,Frey,unknown,none,1
Zhoe Frey (Blanetree),female,alive,Civilian,Zhoe,Frey,Blanetree,none,1
Zia Frey,female,alive,Civilian,Zia,Frey,unknown,none,1
Zachery Frey,male,alive,Civilian,Zachery,Frey,unknown,none,1
Kyra Goodbrook (Frey),female,alive,Civilian,Kyra,Goodbrook,Frey,none,1
Walder Goodbrook,male,alive,Civilian,Walder,Goodbrook,unknown,none,1
Jeyne Goodbrook,female,alive,Civilian,Jeyne,Goodbrook,unknown,none,1
Septon Luceon (Frey),male,alive,Septon,Luceon,unknown,Frey,none,1
Lady Amarei Frey (Crakehall),female,dead,Lord / Lady,Amarei,Frey,Crakehall,none,1
Bellena Frey (Hawick),female,alive,Civilian,Bellena,Frey,Hawick,none,1
Ser Arwood Frey,male,alive,Ser,Arwood,Frey,unknown,none,1
Ryella Frey (Royce),female,alive,Civilian,Ryella,Frey,Royce,none,1
"Ryella Frey, Daughter of Arwood",female,alive,Civilian,Ryella,Frey,unknown,Daughter of Arwood,1
Androw Frey,male,alive,Civilian,Androw,Frey,unknown,none,1
Alyn Frey,male,alive,Civilian,Alyn,Frey,unknown,none,1
Lady Lythene Vypren (Frey),female,alive,Lord / Lady,Lythene,Vypren,Frey,none,1
Lucias Vypren,male,alive,Civilian,Lucias,Vypren,unknown,none,1
Elyana Wylde (Vypren),female,alive,Civilian,Elyana,Wylde,Vypren,none,1
Jon Wylde,male,alive,Civilian,Jon,Wylde,unknown,none,1
Rickard Wylde,male,alive,Civilian,Rickard,Wylde,unknown,none,1
Ser Damon Vypren,male,alive,Ser,Damon,Vypren,unknown,none,1
Symond Frey,male,dead,Civilian,Symond,Frey,unknown,none,1
"Betharios Frey, Of Braavos",female,alive,Civilian,Betharios,Frey,unknown,Of Braavos,1
Alesander Frey,male,alive,Civilian,Alesander,Frey,unknown,none,1
Alyx Frey,female,alive,Civilian,Alyx,Frey,unknown,none,1
Bradamar Frey,male,alive,Civilian,Bradamar,Frey,unknown,none,1
Oro Tendyris,male,alive,Civilian,Oro,Tendyris,unknown,none,1
Wynafrei Frey (Whent),female,alive,Civilian,Wynafrei,Frey,Whent,none,1
Lady Mariya Frey (Darry),female,alive,Lord / Lady,Mariya,Frey,Darry,none,1
"Amerei Frey, Gatehouse Ami",female,alive,Civilian,Amerei,Frey,unknown,Gatehouse Ami,1
"Ser Pate, Of the Blue Fork, Of Sevenstreams",male,dead,Ser,Pate,unknown,unknown,"Of the Blue Fork, Of Sevenstreams",1
"Walda Frey, Fat Walda, Daughter of Merrett",female,alive,Civilian,Walda,Frey,unknown,"Fat Walda, Daughter of Merrett",1
Marissa Frey,female,alive,Civilian,Marissa,Frey,unknown,none,1
Ser Geremy Frey,male,dead,Ser,Geremy,Frey,unknown,none,1
Carolei Frey (Waynwood),female,alive,Civilian,Carolei,Frey,Waynwood,none,1
Sandor Frey,male,alive,Civilian,Sandor,Frey,unknown,none,1
Cynthea Frey,female,alive,Civilian,Cynthea,Frey,unknown,none,1
Ser Raymund Frey,male,alive,Ser,Raymund,Frey,unknown,none,1
Beony Frey (Beesbury),female,alive,Civilian,Beony,Frey,Beesbury,none,1
"Robert Frey, Son of Raymund",male,alive,Civilian,Robert,Frey,unknown,Son of Raymund,1
Malwyn Frey,male,alive,Civilian,Malwyn,Frey,unknown,none,1
Serra Frey,female,alive,Civilian,Serra,Frey,unknown,none,1
Sarra Frey,female,alive,Civilian,Sarra,Frey,unknown,none,1
"Cersei Frey, Little Bee",female,alive,Civilian,Cersei,Frey,unknown,Little Bee,1
Lady Alyssa Frey (Blackwood),female,dead,Lord / Lady,Alyssa,Frey,Blackwood,none,1
"Lothar Frey, Lame Lothar",male,alive,Civilian,Lothar,Frey,unknown,Lame Lothar,1
Leonella Frey (Lefford),female,alive,Civilian,Leonella,Frey,Lefford,none,1
Tysane Frey,female,alive,Civilian,Tysane,Frey,unknown,none,1
"Walda Frey, Daughter of Lothar",female,alive,Civilian,Walda,Frey,unknown,Daughter of Lothar,1
Emberlei Frey,female,alive,Civilian,Emberlei,Frey,unknown,none,1
Sallei Frey (Paege),female,alive,Civilian,Sallei,Frey,Paege,none,1
Dickon Frey,male,alive,Civilian,Dickon,Frey,unknown,none,1
Mathis Frey,male,alive,Civilian,Mathis,Frey,unknown,none,1
Ser Whalen Frey,male,alive,Ser,Whalen,Frey,unknown,none,1
Sylwa Frey (Paege),female,alive,Civilian,Sylwa,Frey,Paege,none,1
Hoster Frey,male,alive,Civilian,Hoster,Frey,unknown,none,1
Ser Damon Paege,male,alive,Ser,Damon,Paege,unknown,none,1
"Merianne Frey, Merry",female,alive,Civilian,Merianne,Frey,unknown,Merry,1
Lady Morya Brax (Frey),female,alive,Lord / Lady,Morya,Brax,Frey,none,1
"Robert Brax, Son of Flement",male,alive,Civilian,Robert,Brax,unknown,Son of Flement,1
Walder Brax,male,alive,Civilian,Walder,Brax,unknown,none,1
Jon Brax,male,alive,Civilian,Jon,Brax,unknown,none,1
"Tyta Frey, The Maid",female,alive,Civilian,Tyta,Frey,unknown,The Maid,1
Lady Sarya Frey (Whent),female,dead,Lord / Lady,Sarya,Frey,Whent,none,1
Lady Bethany Frey (Rosby),female,dead,Lord / Lady,Bethany,Frey,Rosby,none,1
Ser Benfrey Frey,male,dead,Ser,Benfrey,Frey,unknown,none,1
Jyanna Frey,female,alive,Civilian,Jyanna,Frey,unknown,none,1
"Della Frey, Deaf Della",female,alive,Civilian,Della,Frey,unknown,Deaf Della,1
Osmund Frey,male,alive,Civilian,Osmund,Frey,unknown,none,1
Maester Willamen (Frey),male,alive,Maester,Willamen,unknown,Frey,none,1
Roslin Frey,female,alive,Civilian,Roslin,Frey,unknown,none,1
Lady Annara Frey (Farring),female,dead,Lord / Lady,Annara,Frey,Farring,none,1
Arwyn Frey,female,alive,Civilian,Arwyn,Frey,unknown,none,1
Wendel Frey,male,alive,Civilian,Wendel,Frey,unknown,none,1
Colmar Frey,male,alive,Civilian,Colmar,Frey,unknown,none,1
Shirei Frey,female,alive,Civilian,Shirei,Frey,unknown,none,1
Lady Joyeuse Frey (Erenford),female,alive,Lord / Lady,Joyeuse,Frey,Erenford,none,1
Ser Aemon Rivers,male,alive,Ser,Aemon,Rivers,unknown,none,1
Walda Rivers,female,alive,Civilian,Walda,Rivers,unknown,none,1
Maester Melwys (Rivers),male,alive,Maester,Melwys,unknown,Rivers,none,1
Jeyne Rivers,female,alive,Civilian,Jeyne,Rivers,unknown,none,1
Ronel Rivers,male,alive,Civilian,Ronel,Rivers,unknown,none,1
Mellara Rivers,female,alive,Civilian,Mellara,Rivers,unknown,none,1
Ser Aladale Wynch,male,dead,Ser,Aladale,Wynch,unknown,none,1
Elron,male,alive,Civilian,Elron,unknown,unknown,none,1
Cugen,male,alive,Civilian,Cugen,unknown,unknown,none,1
"Paul, Small Paul",male,dead,Civilian,Paul,unknown,unknown,Small Paul,1
Blane,male,dead,Civilian,Blane,unknown,unknown,none,1
Grubbs,male,dead,Civilian,Grubbs,unknown,unknown,none,1
Aethan,male,dead,Civilian,Aethan,unknown,unknown,none,1
Bannen,male,dead,Civilian,Bannen,unknown,unknown,none,1
Softfoot,male,dead,Civilian,Softfoot,unknown,unknown,none,1
"Kedge, Whiteye",male,dead,Civilian,Kedge,unknown,unknown,Whiteye,1
Goady,male,alive,Civilian,Goady,unknown,unknown,none,1
"Donnel Hill, Sweet Donnel",male,alive,Civilian,Donnel,Hill,unknown,Sweet Donnel,1
Dirk,male,dead,Civilian,Dirk,unknown,unknown,none,1
"Karl, Clubfoot Karl",male,dead,Civilian,Karl,unknown,unknown,Clubfoot Karl,1
"Ollo, Lophand",male,dead,Civilian,Ollo,unknown,unknown,Lophand,1
"Bessa, Of Hag's Mire",female,dead,Civilian,Bessa,unknown,unknown,Of Hag's Mire,1
Sawwood,male,dead,Civilian,Sawwood,unknown,unknown,none,1
Maslyn,male,dead,Civilian,Maslyn,unknown,unknown,none,1
Iggo,male,dead,Civilian,Iggo,unknown,unknown,none,1
"Ser Kennos, Of Kayce",male,alive,Ser,Kennos,unknown,unknown,Of Kayce,1
"Arryk, Left/Right",male,alive,Civilian,Arryk,unknown,unknown,Left/Right,1
"Erryk, Left/Right",male,alive,Civilian,Erryk,unknown,unknown,Left/Right,1
Megga Tyrell,female,alive,Civilian,Megga,Tyrell,unknown,none,1
Alla Tyrell,female,alive,Civilian,Alla,Tyrell,unknown,none,1
Elinor Tyrell,female,alive,Civilian,Elinor,Tyrell,unknown,none,1
Lady Leonette Tyrell (Fossoway),female,alive,Lord / Lady,Leonette,Tyrell,Fossoway,none,1
Septa Nysterica,female,alive,Septa,Nysterica,unknown,unknown,none,1
Lady Alyce Graceford,female,alive,Lord / Lady,Alyce,Graceford,unknown,none,1
Lady Alysanne Bulwer,female,alive,Lord / Lady,Alysanne,Bulwer,unknown,none,1
"Meredyth Crane, Merry",female,alive,Civilian,Meredyth,Crane,unknown,Merry,1
"Lady Taena Merryweather, Of Myr",female,alive,Lord / Lady,Taena,Merryweather,unknown,Of Myr,1
"Lord Luthor Tyrell, Father of Mace",male,dead,Lord / Lady,Luthor,Tyrell,unknown,Father of Mace,1
Lenyl,male,alive,Civilian,Lenyl,unknown,unknown,none,1
"Ryk, Longspear Ryk",male,alive,Civilian,Ryk,unknown,unknown,Longspear Ryk,1
Orell,male,dead,Civilian,Orell,unknown,unknown,none,1
"Styr, Magnar of Thenn",male,dead,Civilian,Styr,unknown,unknown,Magnar of Thenn,1
"Tormund, Giantsbane",male,alive,Civilian,Tormund,unknown,unknown,Giantsbane,1
"Dalla, Wife of Mance Rayder",female,dead,Civilian,Dalla,unknown,unknown,Wife of Mance Rayder,1
Val,female,alive,Civilian,Val,unknown,unknown,none,1
Jarl,male,dead,Civilian,Jarl,unknown,unknown,none,1
Lord Commander Qorgyle,male,dead, Commander,unknown,Qorgyle,unknown,none,1
"Orland, Of Oldtown",male,alive,Civilian,Orland,unknown,unknown,Of Oldtown,1
Maester Mullin,male,alive,Maester,Mullin,unknown,unknown,none,1
Captain Groleo,male,dead,Captain,Groleo,unknown,unknown,none,1
Ser Myles Mooton,male,dead,Ser,Myles,Mooton,unknown,none,1
Ser Richard Lonmouth,male,dead,Ser,Richard,Lonmouth,unknown,none,1
"Lord Jon Connington, Griff",male,alive,Lord / Lady,Jon,Connington,unknown,Griff,1
Khal Temmo,male,dead,Khal,Temmo,unknown,unknown,none,1
Khorane Sathmantes,male,alive,Civilian,Khorane,Sathmantes,unknown,none,1
Ser Tristimun,male,dead,Ser,Tristimun,unknown,unknown,none,1
Meizo Mahr,male,alive,Civilian,Meizo,Mahr,unknown,none,1
Jate Blackberry,male,dead,Civilian,Jate,Blackberry,unknown,none,1
"Lord Lucos Chyttering, Little Lucos",male,alive,Lord / Lady,Lucos,Chyttering,unknown,Little Lucos,1
"Will, Hookface Will",male,dead,Civilian,Will,unknown,unknown,Hookface Will,1
"Hal, The Hog",male,dead,Civilian,Hal,unknown,unknown,The Hog,1
Ser Warren,male,dead,Ser,Warren,unknown,unknown,none,1
Ser Sumner Crakehall,male,dead,Ser,Sumner,Crakehall,unknown,none,1
Ser Harlan Grandison,male,dead,Ser,Harlan,Grandison,unknown,none,1
Grand Maester Gerardys,male,dead,Grand Maester,Gerardys,unknown,unknown,none,1
Maester Turquin,male,alive,Maester,Turquin,unknown,unknown,none,1
Maester Erreck,male,alive,Maester,Erreck,unknown,unknown,none,1
Beldecar,male,dead,Civilian,Beldecar,unknown,unknown,none,1
"Lem, Lem Lemoncloak",male,alive,Civilian,Lem,unknown,unknown,Lem Lemoncloak,1
"Tom, Of Sevenstreams/O'Sevens/Sevenstrings",male,alive,Civilian,Tom,unknown,unknown,Of Sevenstreams/O'Sevens/Sevenstrings,1
Sharna,female,alive,Civilian,Sharna,unknown,unknown,none,1
"Pate, Old Pate",male,dead,Civilian,Pate,unknown,unknown,Old Pate,1
Husband,male,alive,Civilian,unknown,unknown,unknown,Husband,1
Lady Sybell Westerling (Spicer),female,alive,Lord / Lady,Sybell,Westerling,Spicer,none,1
Ser Rolph Spicer,male,alive,Ser,Rolph,Spicer,unknown,none,1
Ser Raynald Westerling,male,dead,Ser,Raynald,Westerling,unknown,none,1
Elenya Westerling,female,alive,Civilian,Elenya,Westerling,unknown,none,1
Rollam Westerling,male,alive,Civilian,Rollam,Westerling,unknown,none,1
Queen Jeyne Stark (Westerling),female,alive,King / Queen,Jeyne,Stark,Westerling,none,1
"Mag Mar Tun Doh Weg, Mag the Mighty",male,dead,Civilian,Mag,Mar Tun Doh Weg,unknown,Mag the Mighty,1
"Lump, Varamyr Sixskins",male,dead,Civilian,Lump,unknown,unknown,Varamyr Sixskins,1
"Toregg, Son of Tormund",male,alive,Civilian,Toregg,unknown,unknown,Son of Tormund,1
"Dormund, Son of Tormund",male,dead,Civilian,Dormund,unknown,unknown,Son of Tormund,1
"Munda, Daughter of Tormund",female,alive,Civilian,Munda,unknown,unknown,Daughter of Tormund,1
Alyn Ambrose,male,alive,Civilian,Alyn,Ambrose,unknown,none,1
Lord Arthur Ambrose,male,alive,Lord / Lady,Arthur,Ambrose,unknown,none,1
Jack-Be-Lucky,male,alive,Civilian,Jack-Be-Lucky,unknown,unknown,none,1
"Pello, Of Tyrosh, Greenbeard",male,alive,Civilian,Pello,unknown,unknown,"Of Tyrosh, Greenbeard",1
"Bernarr, Black Bernarr",male,alive,Civilian,Bernarr,unknown,unknown,Black Bernarr,1
Talla Tarly,female,alive,Civilian,Talla,Tarly,unknown,none,1
Mawney,male,dead,Civilian,Mawney,unknown,unknown,none,1
Tyrion's High Septon,male,dead,High Septon,unknown,unknown,unknown,Tyrion's High Septon,1
Lord Horton Redfort,male,alive,Lord / Lady,Horton,Redfort,unknown,none,1
Lord Sebaston Farman,male,alive,Lord / Lady,Sebaston,Farman,unknown,none,1
Elwood,male,dead,Civilian,Elwood,unknown,unknown,none,1
Karlon Stark,male,dead,Civilian,Karlon,Stark,unknown,none,1
"Timeon, Of Dorne",male,dead,Civilian,Timeon,unknown,unknown,Of Dorne,1
Ser Maynard,male,dead,Ser,Maynard,unknown,unknown,none,1
Lord Lymond Lychester,male,alive,Lord / Lady,Lymond,Lychester,unknown,none,1
"Ben, Big Belly Ben",male,dead,Civilian,Ben,unknown,unknown,Big Belly Ben,1
"King Erreg, The Kinslayer",male,dead,King / Queen,Erreg,unknown,unknown,The Kinslayer,1
Lady Ravella Smallwood (Swann),female,alive,Lord / Lady,Ravella,Smallwood,Swann,none,1
Carellen Smallwood,female,alive,Civilian,Carellen,Smallwood,unknown,none,1
Kraznys mo Nakloz,male,dead,Civilian,Kraznys,mo Nakloz,unknown,none,1
Porridge,male,alive,Civilian,unknown,unknown,unknown,Porridge,1
Lamprey,male,alive,Civilian,unknown,unknown,unknown,Lamprey,1
"Arson, Iceaxe",male,dead,Civilian,Arson,unknown,unknown,Iceaxe,1
"Grigg, The Goat",male,alive,Civilian,Grigg,unknown,unknown,The Goat,1
Grazdan mo Ullhor,male,dead,Civilian,Grazdan,mo Ullhor,unknown,none,1
"Grazdan, The Great",male,dead,Civilian,Grazdan,unknown,unknown,The Great,1
"Grazdan, Fat one, with a gold tokar",male,dead,Civilian,Grazdan,unknown,unknown,"Fat one, with a gold tokar",1
"Grazdan, Tall one",male,dead,Civilian,Grazdan,unknown,unknown,Tall one,1
"Grazdan, With a spiked beard",male,dead,Civilian,Grazdan,unknown,unknown,With a spiked beard,1
Missandei,female,alive,Civilian,Missandei,unknown,unknown,none,1
Ser Denys Arryn,male,dead,Ser,Denys,Arryn,unknown,none,1
Ser Wilbert,male,dead,Ser,Wilbert,unknown,unknown,none,1
Alyce,female,alive,Civilian,Alyce,unknown,unknown,none,1
Tansy,female,alive,Civilian,Tansy,unknown,unknown,none,1
Cass,female,alive,Civilian,Cass,unknown,unknown,none,1
"Lanna, Of the Peach",female,alive,Civilian,Lanna,unknown,unknown,Of the Peach,1
Jyzene,female,alive,Civilian,Jyzene,unknown,unknown,none,1
Helly,female,alive,Civilian,Helly,unknown,unknown,none,1
Leslyn,female,alive,Civilian,Leslyn,unknown,unknown,none,1
Bella,female,alive,Civilian,Bella,unknown,unknown,none,1
Errok,male,alive,Civilian,Errok,unknown,unknown,none,1
Zollo,male,alive,Civilian,Zollo,unknown,unknown,none,1
"Galyeon, Of Cuy",male,alive,Civilian,Galyeon,unknown,unknown,Of Cuy,1
"Bethany, Fair-fingers",female,alive,Civilian,Bethany,unknown,unknown,Fair-fingers,1
Aemon Costayne,male,alive,Civilian,Aemon,Costayne,unknown,none,1
"Alaric, Of Eysen",male,alive,Civilian,Alaric,unknown,unknown,Of Eysen,1
"Hamish, The Harper",male,dead,Civilian,Hamish,unknown,unknown,The Harper,1
Collio Quaynis,male,alive,Civilian,Collio,Quaynis,unknown,none,1
King Tommen II Lannister,male,dead,King / Queen,Tommen,Lannister,unknown,none,1
Fornio,male,dead,Civilian,Fornio,unknown,unknown,none,1
Ser Byam Flint,male,dead,Ser,Byam,Flint,unknown,none,1
"Garth, Of Oldtown",male,dead,Civilian,Garth,unknown,unknown,Of Oldtown,1
"Garth, Of Greenaway",male,dead,Civilian,Garth,unknown,unknown,Of Greenaway,1
"Alan, Of Rosby",male,dead,Civilian,Alan,unknown,unknown,Of Rosby,1
Ronnel Harclay,male,dead,Civilian,Ronnel,Harclay,unknown,none,1
Tim Stone,male,alive,Civilian,Tim,Stone,unknown,none,1
"Ulmer, Ulmer of the Kingswood",male,alive,Civilian,Ulmer,unknown,unknown,Ulmer of the Kingswood,1
"Dick, Fletcher Dick",male,dead,Civilian,Dick,unknown,unknown,Fletcher Dick,1
Simon Toyne,male,alive,Civilian,Simon,Toyne,unknown,none,1
"Oswyn, Oswyn Longneck the Thrice-Hanged",male,dead,Civilian,Oswyn,unknown,unknown,Oswyn Longneck the Thrice-Hanged,1
"Wenda, The White Fawn",female,dead,Civilian,Wenda,unknown,unknown,The White Fawn,1
Rolley Of Sisterton,male,dead,Civilian,Rolley,Of Sisterton,unknown,none,1
"Bill, Muttering Bill",male,dead,Civilian,Bill,unknown,unknown,Muttering Bill,1
